Run ID,Epsilon,accuracy,loss,precision,recall,f1,fpr,fnr,roc_auc,pr_auc
1,0,0.8083999752998352,0.6510581970214844,0.8084982952494849,0.8050462632426454,0.8067685815916418,0.021287939456820153,0.19495373674732036,0.972435104801195,nan
1,0.01,0.41339999437332153,2.092804431915283,0.47791898640262886,0.4194598784050413,0.4467852889157266,0.06506238602187636,0.5805401215849243,0.8587112895895699,nan
1,0.1,0.0210999995470047,5.377814292907715,0.01334881118634658,0.02094691252462981,0.016306190302539592,0.1085528535718778,0.979053087465336,0.40419689172229967,nan
1,0.15,0.0030999998562037945,7.439231872558594,0.0017049879890557544,0.0030621676740566033,0.0021903829124883725,0.11057242161857658,0.9969378323159092,0.2760779394419799,nan
2,0,0.814799964427948,0.6277499794960022,0.813863120238224,0.8122774235182073,0.8130694937488322,0.020563338005280072,0.18772257647175844,0.9745351661959749,nan
2,0.01,0.4048999845981598,2.132321834564209,0.4741186323944044,0.41203736321599693,0.4409033847461225,0.06590312003235024,0.5879626367739688,0.857208075647728,nan
2,0.1,0.022499999031424522,5.75147819519043,0.015675019810375154,0.022315580785904503,0.018414927552300786,0.10827743814121071,0.9776844192040614,0.40552120504444583,nan
2,0.15,0.0017999999690800905,7.9788818359375,0.0008273822078885965,0.0017716248368848564,0.001127973263615004,0.11062120878175112,0.9982283751530808,0.27525073786462706,nan
3,0,0.8202999830245972,0.6008329391479492,0.8187079957272839,0.8173418011116826,0.8180243229943899,0.019959905297557447,0.18265819887828297,0.9767426355215522,nan
3,0.01,0.4096999764442444,2.136953592300415,0.47648183439962316,0.41567177818796963,0.4440043650883931,0.06541805907732504,0.584328221801996,0.8554241408620692,nan
3,0.1,0.021299999207258224,5.788341999053955,0.01438236486434502,0.02122483545846294,0.01714615242148118,0.1084512373939274,0.9787751645315028,0.4043459404356411,nan
3,0.15,0.0031999999191612005,8.108535766601562,0.001872574046195377,0.0031920750061971634,0.0023604340384137164,0.11048482662714729,0.9968079249837686,0.2722687308658872,nan
