Run ID,Epsilon,accuracy,loss,precision,recall,f1,fpr,fnr,roc_auc,pr_auc
1,0,0.7962999939918518,0.7065293192863464,0.7967951443698821,0.7937631639444871,0.7952762593212088,0.02263387443607307,0.20623683604547866,0.9690887493087148,nan
1,0.01,0.4323999881744385,1.851432204246521,0.4226629088522603,0.44126647392084484,0.4317643849289589,0.06285449175719196,0.5587335260691207,0.8825602608138586,nan
1,0.1,0.029600000008940697,4.519304275512695,0.028927730992876065,0.02957375658964866,0.029247171796494432,0.10745572767631253,0.9704262434003171,0.45317303986616214,nan
1,0.15,0.006000000052154064,6.4678826332092285,0.003193512993351863,0.005942396980874581,0.004154397591838514,0.11011495654274317,0.9940576030090911,0.3149824740084239,nan
2,0,0.795699954032898,0.6966620683670044,0.7973194208770473,0.7928840264674781,0.7950955330727165,0.022700224011030577,0.20711597352248753,0.9697379902166435,nan
2,0.01,0.42089998722076416,1.8925297260284424,0.41143626190569316,0.42826063103127476,0.41967989291514063,0.06421951547430091,0.5717393689586909,0.8813013516711594,nan
2,0.1,0.030399998649954796,4.5813493728637695,0.03301817045856113,0.030163119109519902,0.03152613241982606,0.10742777552204186,0.9698368808804458,0.44735793846856475,nan
2,0.15,0.007199999876320362,6.524352550506592,0.00419530225894447,0.007123030883938666,0.005280502133690728,0.1100256163218469,0.9928769691060271,0.3156553754426804,nan
3,0,0.7968999743461609,0.6891626119613647,0.7959820859096205,0.7939421173074586,0.7949607879071993,0.022570761622888104,0.20605788268250724,0.9708502200376747,nan
3,0.01,0.3950999975204468,1.9613869190216064,0.49842550418820447,0.39872755487260086,0.443036956400662,0.06718195770095024,0.6012724451173649,0.871529452984418,nan
3,0.1,0.0340999998152256,4.767145156860352,0.02802258168950189,0.03369171192443762,0.030596756161029297,0.10712854912518673,0.9663082880655282,0.41361439046630827,nan
3,0.15,0.008299999870359898,6.779708385467529,0.0023086454542321513,0.008200936372626004,0.0036030047196933183,0.11002182127439109,0.9917990636173396,0.28531622060941475,nan
