epoch,train_acc,test_acc,train_loss
1,10.2714,12.26,2.304913
2,15.1,16.47,2.269331
3,22.8286,23.92,2.213764
4,23.5571,27.17,2.135445
5,25.8,29.73,2.05468
6,28.6,33.06,1.980547
7,32.3429,35.37,1.916235
8,34.5286,38.22,1.862744
9,36.8143,40.4,1.8187
10,38.8714,42.16,1.78019
11,40.7,44.33,1.747671
12,42.0143,44.78,1.717529
13,42.9857,45.68,1.689567
14,43.9571,46.57,1.661861
15,44.7714,47.85,1.638934
16,46.1429,48.92,1.615449
17,46.7571,49.36,1.593993
18,47.7571,49.88,1.575141
19,48.4,51.07,1.555278
20,48.8429,51.31,1.540212
21,49.1714,51.66,1.52414
22,49.9,52.22,1.507348
23,49.8429,52.48,1.495173
24,50.8143,53.19,1.48045
25,50.8429,52.98,1.467411
26,51.3571,53.82,1.455006
27,51.7857,54.16,1.445239
28,52.1429,53.99,1.43522
29,52.3714,54.62,1.425411
30,52.6429,54.97,1.415239
