epoch,train_acc,test_acc,train_loss
1,9.9143,11.07,2.291282
2,21.1714,23.75,2.243235
3,25.7857,31.06,2.147819
4,33.1429,32.25,2.031345
5,34.8714,37.07,1.931716
6,37.1857,39.34,1.857277
7,38.9,41.3,1.799683
8,40.1143,41.52,1.754767
9,41.3,43.59,1.718775
10,41.6714,44.98,1.692584
11,42.3,45.23,1.667506
12,43.1286,45.77,1.647832
13,43.8286,46.59,1.631952
14,44.0286,47.34,1.614984
15,44.4,47.17,1.600984
16,44.8286,47.37,1.588112
17,45.3857,48.51,1.575642
18,46.1429,48.84,1.565953
19,46.3,49.49,1.556505
20,46.6143,49.92,1.546021
21,47.1429,49.88,1.53746
22,47.3714,50.26,1.5282
23,47.3429,50.48,1.519783
24,47.9714,50.92,1.513126
25,48.1429,51.15,1.503902
26,48.4286,50.99,1.498396
27,48.4143,51.47,1.490234
28,48.7571,51.92,1.486693
29,49.0143,52.04,1.479268
30,49.4286,51.95,1.47115
