epoch,train_acc,test_acc,loss
1,11.354,14.5152,3.074051
2,22.2857,26.6234,2.847953
3,31.323,32.9362,2.580607
4,37.4224,37.4719,2.364724
5,40.0807,38.7267,2.218946
6,41.2112,40.1377,2.118267
7,42.5404,41.2313,2.045323
8,43.5652,41.8514,1.990899
9,44.1553,42.5593,1.948771
10,44.8137,43.3014,1.914651
11,45.2919,43.7799,1.886165
12,45.764,43.9361,1.862555
13,45.9814,44.2242,1.842
14,46.3292,44.3658,1.823991
15,46.5652,44.7808,1.808744
16,46.7888,44.9761,1.794733
17,46.9627,44.8931,1.782481
18,47.2547,45.3423,1.771364
19,47.2236,45.396,1.761351
20,47.528,45.3813,1.751167
21,47.5963,45.8451,1.743064
22,47.7205,45.9037,1.734792
23,48.0186,45.9281,1.726783
24,48.0124,46.1185,1.720039
25,48.087,46.8362,1.71276
26,48.4099,46.2699,1.706572
27,48.2174,46.475,1.700725
28,48.5901,46.3822,1.694624
29,48.4534,47.1243,1.689968
30,48.4472,47.0022,1.68384
