epoch,train_acc,test_acc,loss
1,12.0435,18.3478,3.07993
2,21.6335,24.4556,2.880406
3,27.4845,27.5705,2.635011
4,30.3416,30.4755,2.455436
5,33.0994,33.1218,2.330194
6,35.1304,34.8892,2.237111
7,37.0124,36.2318,2.163487
8,38.4472,37.8039,2.104968
9,39.472,38.9317,2.054036
10,40.1677,39.5274,2.012949
11,40.9379,40.3867,1.978277
12,41.3913,41.329,1.948851
13,42.3043,41.6073,1.923196
14,42.472,42.5398,1.901091
15,43.1801,42.8034,1.882204
16,43.4472,43.2428,1.865078
17,43.882,43.6139,1.850588
18,44.1988,44.0484,1.835954
19,44.646,44.7661,1.824261
20,45.2484,44.6392,1.812718
21,45.4534,45.0298,1.803416
22,45.6087,45.313,1.794229
23,45.6832,45.1909,1.785729
24,45.6087,45.8598,1.777646
25,45.882,45.7475,1.771182
26,46.087,45.7182,1.764084
27,46.0745,45.728,1.759017
28,46.0621,45.9574,1.753186
29,46.1988,45.7426,1.747658
30,46.0994,45.6791,1.743214
