Class,FNR,FPR
0,0.207,0.005235602094240838
1,0.761,0.03469869623241967
2,0.44844844844844844,0.028999640712415953
3,0.985929648241206,0.0031302919895314827
4,1.0,0.0
5,0.468,0.024073503747048558
6,0.5155466399197592,0.04521426738516808
7,0.4244244244244244,0.029974849869116665
8,0.38391502276176026,0.013116077283963074
9,1.0,0.0003556007112014224
10,1.0,0.0
11,0.5088062622309197,0.00385559060637925
12,0.07210031347962383,0.029883088087079217
13,0.2625250501002004,0.055892013960172446
14,0.32232232232232233,0.04475696761279064
15,0.181,0.00898265065188379
16,0.3683683683683684,0.005953908535646461
17,0.33433734939759036,0.05106230113927948
18,0.0,0.0021558361564521095
19,0.6036036036036037,0.03613406559564749
20,0.6826826826826827,0.014576810552789612
21,0.18926174496644296,0.018594517910523384
22,0.7057057057057057,0.05081352974387928
Average,0.49673815594143733,0.0220634700251143
