epoch,train_loss,train_acc,test_loss,test_acc
1,2.305366,9.9857,2.290915,8.98
2,2.274437,11.2571,2.259729,16.13
3,2.242387,20.8429,2.221762,22.53
4,2.2002,22.3571,2.173053,24.09
5,2.149172,24.4143,2.119613,26.86
6,2.100399,27.0571,2.073021,29.11
7,2.058225,27.9571,2.035185,30.25
8,2.02642,30.2,2.00574,31.22
9,1.998927,31.0,1.980383,33.38
10,1.975883,32.3429,1.956159,33.95
11,1.953098,32.6,1.935094,35.26
12,1.933333,34.6143,1.914268,36.15
13,1.911651,35.6429,1.893395,36.72
14,1.891069,36.0143,1.871465,38.05
15,1.872988,37.3143,1.850883,38.81
16,1.853554,37.7,1.83185,39.64
17,1.832525,38.2571,1.810755,40.79
18,1.81259,39.3143,1.791729,41.28
19,1.795203,40.4571,1.773382,41.97
20,1.777841,40.2143,1.753887,42.63
21,1.759744,41.1571,1.734413,43.38
22,1.742696,42.1571,1.717556,43.8
23,1.725794,42.4714,1.701803,44.47
24,1.709108,43.1429,1.684578,45.06
25,1.694087,43.7286,1.66848,45.52
26,1.679999,43.9857,1.655233,46.43
27,1.667628,44.9714,1.639517,46.58
28,1.652595,45.0857,1.6258,47.15
29,1.638298,45.4857,1.612456,48.1
30,1.625916,46.0429,1.600837,48.05
