epoch,train_loss,train_acc_pct,test_acc_pct
1,2.29744517,10.871429,13.51
2,2.22101516,18.9,25.89
3,2.12005538,24.385714,27.7
4,2.03995396,26.7,32.0
5,1.97222448,30.5,35.13
6,1.90264484,34.328571,39.68
7,1.83136045,38.885714,43.41
8,1.76674308,42.3,45.2
9,1.70915246,44.528571,46.45
10,1.65877407,45.828571,47.58
11,1.61339599,47.0,48.16
12,1.57643196,47.785714,49.27
13,1.54510139,48.1,50.63
14,1.51781167,49.685714,51.43
15,1.49537303,50.128571,51.99
16,1.47606238,50.728571,51.91
17,1.45945578,51.642857,52.33
18,1.44412012,51.614286,52.72
19,1.43078381,52.414286,53.29
20,1.41840471,52.814286,53.59
21,1.40863734,52.414286,54.0
22,1.39865287,53.285714,54.62
23,1.3892765,53.771429,54.59
24,1.38156377,53.514286,54.58
25,1.37413639,53.657143,55.11
26,1.36587627,54.457143,55.21
27,1.35875785,54.271429,55.57
28,1.35250493,54.614286,55.09
29,1.34723727,54.828571,55.75
30,1.33935336,55.028571,55.82
