epoch,train_loss,train_acc,test_loss,test_acc
1,3.075606,10.5155,2.989716,20.5205
2,2.929264,24.5031,2.840877,29.0938
3,2.797077,33.7702,2.717343,34.4986
4,2.684172,37.8199,2.615833,37.5647
5,2.585238,39.7702,2.52683,39.1759
6,2.497416,41.6708,2.448098,41.1874
7,2.418877,43.5901,2.379939,42.2517
8,2.348651,44.7329,2.315581,43.7164
9,2.284655,46.0683,2.260094,44.6636
10,2.226219,46.9379,2.207637,45.4253
11,2.172637,48.1429,2.159253,46.6995
12,2.123595,49.2236,2.114149,47.3635
13,2.07726,49.9627,2.072789,48.6085
14,2.034958,51.0559,2.033675,49.0284
15,1.994507,51.6522,1.996889,50.2295
16,1.956965,51.9565,1.96344,51.5233
17,1.922011,53.0186,1.932482,51.6063
18,1.888666,53.7205,1.900442,51.7088
19,1.857741,54.3913,1.873476,52.4021
20,1.829544,54.6522,1.846464,52.8659
21,1.801842,55.3789,1.823487,53.6325
22,1.775675,55.8944,1.798843,54.1353
23,1.751552,56.2795,1.775537,54.5259
24,1.728131,56.7764,1.755249,55.1802
25,1.705959,57.2919,1.737143,55.0727
26,1.68552,57.9689,1.718644,55.351
27,1.666359,58.4658,1.69776,55.81
28,1.646886,58.795,1.68083,56.9378
29,1.629671,58.8758,1.664149,56.8646
30,1.611804,59.3416,1.650317,57.3382
