epoch,train_loss,train_acc,test_loss,test_acc
1,3.075753,10.5031,2.989001,20.3008
2,2.928076,25.087,2.838194,29.5967
3,2.796184,33.8012,2.715688,34.523
4,2.68636,37.0062,2.618016,36.5052
5,2.591101,38.8137,2.532809,39.0147
6,2.505137,41.1553,2.454653,41.4266
7,2.427697,42.7391,2.38673,42.2908
8,2.356977,44.0435,2.324364,43.2477
9,2.293069,45.5652,2.265981,44.1851
10,2.234923,46.528,2.212826,45.7573
11,2.181301,48.1988,2.164329,46.4212
12,2.132677,49.1056,2.119046,47.4172
13,2.086797,49.7205,2.075669,48.589
14,2.044403,50.5155,2.037626,49.3458
15,2.004425,51.1553,2.000384,49.7998
16,1.968182,51.4907,1.966426,50.6201
17,1.934777,51.9938,1.935882,51.5086
18,1.902684,52.6708,1.903767,51.7821
19,1.872624,52.882,1.875501,52.2801
20,1.845408,53.354,1.850036,52.4558
21,1.819057,53.4969,1.826794,53.2126
22,1.79404,54.1615,1.801365,53.569
23,1.77036,54.6708,1.780201,53.8766
24,1.74879,54.9255,1.759655,54.2965
25,1.727548,55.2484,1.741336,54.9409
26,1.707999,55.5901,1.720248,54.9458
27,1.689561,55.9627,1.701077,55.3364
28,1.670319,56.2112,1.683249,55.7563
29,1.653294,57.0062,1.666997,56.391
30,1.636826,56.7267,1.651541,56.4544
