epoch,train_loss,train_acc_pct,test_acc_pct
1,3.07417996,11.354037,14.520066
2,2.84810407,22.31677,26.657553
3,2.58050576,31.304348,32.955766
4,2.3648949,37.409938,37.45728
5,2.21902791,39.993789,38.755981
6,2.11858334,41.180124,40.123035
7,2.0460782,42.478261,41.250854
8,1.99180288,43.478261,41.831852
9,1.94959895,44.124224,42.437262
10,1.91519925,44.73913,43.3112
11,1.88655945,45.267081,43.809198
12,1.86286587,45.732919,43.960551
13,1.84235098,46.018634,44.219315
14,1.82476254,46.341615,44.385314
15,1.80920919,46.583851,44.756371
16,1.79545944,46.813665,44.912606
17,1.78316561,46.993789,44.87843
18,1.77167452,47.279503,45.327605
19,1.76156684,47.267081,45.435016
20,1.75199635,47.509317,45.425251
21,1.74332941,47.627329,45.869544
22,1.73511939,47.658385,45.98672
23,1.7270938,48.043478,45.90372
24,1.72003939,48.0,46.108778
25,1.71336452,48.062112,46.816717
26,1.70699504,48.391304,46.118543
27,1.70095744,48.248447,46.450542
28,1.69529141,48.590062,46.387072
29,1.6897679,48.372671,47.09501
30,1.68443682,48.440994,47.007128
