Metric,Value
accuracy,0.3041999936103821
loss,2.0987930297851562
precision,0.2931381771819477
recall,0.2947533281105532
f1,0.29394352894394377
fpr,0.07750844007445226
fnr,0.7052466718794125
roc_auc,0.7760017065735039
pr_auc,0.3642812438684017
