epoch,train_loss,train_acc_pct,test_acc_pct
1,3.09844836,10.63354,16.238649
2,2.89160896,20.279503,22.986037
3,2.63871675,28.149068,30.436481
4,2.44173925,33.254658,33.444
5,2.30814357,35.708075,35.811932
6,2.21631837,37.534161,37.296162
7,2.14898183,38.440994,38.287277
8,2.09647059,39.10559,38.985451
9,2.05349256,39.807453,39.615272
10,2.01739543,40.26087,40.176741
11,1.98615517,40.571429,40.616151
12,1.95896302,41.546584,41.050679
13,1.93486074,41.807453,41.612147
14,1.91343825,42.273292,41.846499
15,1.89379436,42.776398,42.002734
16,1.87617986,43.006211,42.398203
17,1.85978016,43.42236,42.461674
18,1.84472279,43.993789,43.208671
19,1.83078781,44.26087,43.545552
20,1.81753434,44.850932,43.848257
21,1.8054993,45.118012,44.136315
22,1.79396405,45.670807,44.775901
23,1.78322118,45.962733,44.834489
24,1.77307745,46.304348,44.951665
25,1.76375752,46.434783,44.907724
26,1.75493727,46.521739,45.186017
27,1.74671338,46.900621,45.391075
28,1.73907988,46.708075,45.561957
29,1.73173928,47.217391,45.889073
30,1.72520745,47.198758,45.942779
