epoch,train_loss,train_acc,test_loss,test_acc
1,3.088838,10.6025,2.994449,14.9546
2,2.876075,22.1925,2.746779,27.0677
3,2.613059,30.4286,2.503875,30.8075
4,2.402878,33.882,2.3338,34.0738
5,2.263857,37.0745,2.219476,38.2189
6,2.166705,39.8509,2.137307,39.4444
7,2.093797,41.6584,2.074561,40.9042
8,2.035982,42.9503,2.022112,42.1639
9,1.987469,43.9503,1.978988,43.5748
10,1.945523,45.2484,1.941484,43.6871
11,1.907605,45.913,1.908655,44.5415
12,1.874586,46.913,1.875365,45.1323
13,1.843873,47.6025,1.846885,45.4008
14,1.817143,47.882,1.824193,45.4106
15,1.793982,48.087,1.801846,46.2406
16,1.773081,48.2112,1.788485,45.7182
17,1.7555,48.6957,1.769415,46.5531
18,1.740213,48.7826,1.755186,46.5677
19,1.726132,49.2857,1.741258,46.973
20,1.713925,49.2981,1.730309,47.3294
21,1.702431,49.5776,1.719578,47.1585
22,1.691666,49.6584,1.711717,47.261
23,1.682151,49.4161,1.702778,47.6321
24,1.673533,49.8758,1.695974,47.5686
25,1.665189,49.7764,1.6917,47.5979
26,1.659042,50.1242,1.682985,47.7834
27,1.651882,50.0186,1.678314,47.7834
28,1.645002,49.9689,1.673192,47.7297
29,1.639197,50.2733,1.668176,48.1105
30,1.633276,50.1366,1.663152,48.0178
