epoch,train_loss,train_acc,test_loss,test_acc
1,3.048379,10.1615,2.949461,16.5072
2,2.831365,23.4969,2.73779,26.4964
3,2.625713,28.1429,2.558658,27.8928
4,2.456839,30.5404,2.409306,30.7538
5,2.319387,33.8385,2.283471,33.7662
6,2.207603,37.087,2.178361,37.2913
7,2.114623,39.4534,2.09081,39.1905
8,2.038265,41.1304,2.020906,40.7529
9,1.978201,42.4969,1.967824,42.2566
10,1.930487,43.528,1.923378,42.9792
11,1.890647,44.6832,1.888884,43.8238
12,1.857476,45.4224,1.85803,44.605
13,1.83033,46.3478,1.830395,45.2153
14,1.805017,46.9814,1.807873,45.5473
15,1.783256,47.3602,1.786437,45.9428
16,1.764172,47.8758,1.771539,45.9184
17,1.748356,48.1491,1.752965,46.68
18,1.732923,48.1863,1.740738,46.6947
19,1.720651,48.472,1.727461,47.2512
20,1.708936,48.6957,1.719609,46.9192
21,1.698756,48.6087,1.710019,47.4075
22,1.689961,48.882,1.69884,47.5539
23,1.681703,48.9627,1.691768,47.2073
24,1.674245,49.1801,1.683143,47.3538
25,1.667531,49.1491,1.677549,47.4905
