epoch,train_loss,train_acc,test_loss,test_acc
1,2.290424,10.7,2.268492,15.09
2,2.238444,18.5714,2.207594,20.89
3,2.169442,26.6429,2.133338,27.32
4,2.093619,27.8,2.061759,26.03
5,2.023348,27.4571,1.995847,26.82
6,1.957562,29.8571,1.934312,29.08
7,1.900104,31.6286,1.881952,31.41
8,1.845881,34.3,1.83456,33.9
9,1.798029,36.6571,1.793567,36.59
10,1.753303,38.7857,1.755059,38.53
11,1.711996,40.4286,1.719924,40.23
12,1.674634,42.1429,1.688788,41.19
13,1.640162,43.4286,1.670432,42.74
14,1.610341,44.2143,1.634385,43.95
15,1.584532,45.4571,1.617251,44.62
16,1.561112,46.5286,1.590397,46.0
17,1.53848,47.4429,1.570479,46.52
18,1.517876,48.0,1.562283,46.63
19,1.500555,49.0857,1.538722,47.72
20,1.482853,49.9286,1.525097,47.95
21,1.465974,50.1857,1.510949,49.13
22,1.450786,50.9857,1.488229,49.82
23,1.435925,51.8429,1.475229,50.29
24,1.423458,52.1,1.466696,50.63
25,1.411802,52.0,1.450301,51.73
26,1.397928,52.9143,1.437991,51.78
27,1.386399,52.9429,1.423946,52.65
28,1.374486,53.6857,1.415761,52.71
29,1.362836,53.9429,1.409749,52.31
30,1.353846,54.1857,1.394257,53.21
