epoch,train_loss,train_acc,test_loss,test_acc
1,2.325177,9.2286,2.309909,10.92
2,2.291511,13.7,2.274661,17.23
3,2.258145,24.7714,2.234887,31.11
4,2.213939,29.1286,2.179376,30.03
5,2.152776,28.4571,2.107569,29.83
6,2.080051,28.0714,2.03453,31.53
7,2.012061,30.8286,1.967675,31.87
8,1.954177,31.9143,1.913947,35.14
9,1.905936,33.9857,1.866815,37.51
10,1.862036,35.5429,1.825763,38.55
11,1.824004,36.8286,1.79053,39.6
12,1.791094,37.5429,1.761766,40.4
13,1.765408,38.4857,1.732329,41.56
14,1.740417,39.2714,1.707402,41.98
15,1.717006,40.3571,1.686849,42.98
16,1.69675,40.7857,1.671657,44.26
17,1.678467,41.9,1.647684,43.61
18,1.662324,42.2429,1.635454,45.2
19,1.647069,43.1429,1.615003,45.22
20,1.628987,43.9429,1.600713,45.87
21,1.61554,43.8857,1.587687,47.41
22,1.602088,44.8286,1.570603,47.43
23,1.589789,45.3857,1.558431,48.43
24,1.574677,46.2429,1.541891,48.93
25,1.560592,46.8286,1.528495,49.87
26,1.548285,47.9,1.518239,50.21
27,1.534063,47.8286,1.499491,51.21
28,1.517698,48.8143,1.48349,50.84
29,1.507607,49.0143,1.472735,51.67
30,1.493399,49.9143,1.455288,52.76
