epoch,train_loss,train_acc,test_loss,test_acc
1,2.289626,10.6143,2.265424,14.86
2,2.232816,18.6286,2.194804,20.83
3,2.156466,24.2286,2.114359,27.22
4,2.084949,25.0,2.047572,26.57
5,2.024347,24.7429,1.985381,27.91
6,1.966458,27.0571,1.926077,30.57
7,1.914409,30.0571,1.8715,33.31
8,1.864939,32.9571,1.82317,35.81
9,1.824094,34.4714,1.782193,37.0
10,1.788557,35.9,1.746149,38.81
11,1.756311,37.1429,1.714998,39.57
12,1.727611,38.9,1.69073,41.16
13,1.70063,39.7,1.669107,42.27
14,1.677856,40.9571,1.639563,43.86
15,1.655327,42.2571,1.626051,44.35
16,1.635699,43.6571,1.596743,46.36
17,1.613353,45.4143,1.57513,47.02
18,1.593361,45.6857,1.560915,47.49
19,1.576259,46.9714,1.540736,48.54
20,1.558506,47.8857,1.521819,49.08
21,1.539961,48.1143,1.505158,50.16
22,1.525498,49.2286,1.48849,50.74
23,1.508625,49.6857,1.473244,51.41
24,1.494395,50.3143,1.458902,51.9
25,1.482176,50.3,1.445749,52.46
26,1.466479,51.1857,1.432398,52.66
27,1.454838,51.9143,1.41839,53.2
28,1.442087,52.2286,1.406466,53.63
29,1.42978,52.6,1.395383,53.96
30,1.418872,52.7571,1.38483,55.13
