epoch,train_loss,train_acc,test_loss,test_acc
1,2.290151,10.6714,2.26681,14.97
2,2.236237,18.4286,2.200905,20.82
3,2.163209,24.0143,2.121232,27.27
4,2.088632,24.3714,2.050776,26.34
5,2.023824,24.2286,1.986587,27.26
6,1.962826,27.7571,1.926218,30.18
7,1.909415,30.7429,1.87244,33.12
8,1.858289,34.6429,1.824532,35.47
9,1.815366,36.5714,1.78457,37.34
10,1.776065,38.4,1.747186,39.01
11,1.739487,39.4857,1.71496,40.36
12,1.707437,41.0714,1.688967,41.06
13,1.677586,42.2429,1.671281,42.7
14,1.65222,43.1571,1.637315,43.87
15,1.629101,44.3143,1.622518,44.91
16,1.608729,45.3714,1.597312,45.95
17,1.586728,46.1429,1.576494,46.16
18,1.567172,46.6143,1.567237,46.71
19,1.55129,47.4286,1.545909,47.63
20,1.534687,47.9286,1.529628,47.78
21,1.517956,48.1714,1.514859,48.67
22,1.504575,48.9143,1.497428,49.29
23,1.488308,49.4857,1.485129,49.72
24,1.476397,49.6714,1.474864,50.28
25,1.465338,49.7714,1.460991,50.92
26,1.451775,50.7857,1.449546,50.84
27,1.441073,51.2,1.437099,51.69
28,1.429078,51.3571,1.428096,52.17
29,1.418782,51.9714,1.419182,51.86
30,1.409811,52.2143,1.408859,52.91
