epoch,train_loss,train_acc_pct,test_acc_pct
1,2.29859301,11.985714,16.3
2,2.24136874,25.357143,30.92
3,2.16133597,32.485714,35.82
4,2.0788877,36.671429,38.48
5,2.00193953,38.5,39.84
6,1.93056489,40.6,41.35
7,1.86552611,42.414286,43.11
8,1.80853506,43.4,44.8
9,1.75763083,45.257143,46.04
10,1.71247339,46.885714,47.14
11,1.67112184,47.5,48.88
12,1.63418335,49.242857,49.99
13,1.59933791,50.342857,51.17
14,1.5676161,51.342857,52.07
15,1.53794777,52.471429,53.16
16,1.5100773,52.971429,54.22
17,1.48362341,53.842857,54.72
18,1.45899038,54.585714,55.37
19,1.435383,55.171429,56.01
20,1.4133058,55.642857,56.37
21,1.39275591,55.928571,57.32
22,1.37237474,56.728571,57.71
23,1.35406783,57.157143,58.09
24,1.33681516,57.371429,58.38
25,1.3204665,57.828571,59.09
26,1.3045476,58.271429,59.57
27,1.29008766,58.528571,59.74
28,1.27582278,58.942857,60.09
29,1.26308497,59.057143,60.39
30,1.25034425,59.228571,60.82
