Metric,Value
accuracy,0.11919999867677689
loss,2.1153624057769775
precision,0.11141506585793495
recall,0.10594989561492323
f1,0.10861377081681253
fpr,0.09935702199650381
fnr,0.8940501043750425
roc_auc,0.8344906427729745
pr_auc,0.4520271133515964
