epoch,train_loss,train_acc,test_loss,test_acc
1,3.098281,9.6832,3.020608,15.0864
2,2.941127,17.1429,2.822171,20.5498
3,2.776311,21.0311,2.686867,22.2586
4,2.663957,24.6149,2.594159,26.931
5,2.574527,30.1615,2.515706,30.8173
6,2.498087,32.764,2.45164,31.6864
7,2.434855,33.9752,2.398261,32.8386
8,2.380483,34.8447,2.351891,34.1129
9,2.334204,35.7516,2.31076,34.8501
10,2.290328,36.7081,2.273465,35.4311
11,2.251767,37.323,2.239489,36.4369
12,2.215511,38.4037,2.206591,37.3548
13,2.183116,38.9441,2.179459,38.3312
14,2.154126,39.8261,2.154882,38.6095
15,2.126621,40.2919,2.129433,39.2882
16,2.100896,40.5155,2.106886,39.835
17,2.077769,41.1863,2.085647,39.9277
18,2.056844,41.5093,2.067911,40.0352
19,2.036566,41.528,2.049006,40.3964
20,2.018377,42.0062,2.032093,40.8993
21,2.001296,42.3106,2.01922,41.1923
22,1.985716,42.7267,2.003519,41.534
23,1.970349,43.0683,1.991843,41.661
24,1.957109,43.4224,1.978709,41.9295
25,1.943711,43.7329,1.965353,42.0955
26,1.93215,43.9565,1.955139,42.3982
27,1.92051,44.354,1.944624,42.9597
28,1.909696,44.6522,1.933649,43.0573
29,1.899328,44.9255,1.926053,43.9068
30,1.890293,45.4037,1.917248,43.941
