epoch,train_loss,train_acc,test_loss,test_acc
1,3.117369,7.1366,3.065709,15.6235
2,3.010214,13.9255,2.906792,18.8214
3,2.853873,19.4161,2.761404,23.1716
4,2.731195,25.6025,2.660163,27.6584
5,2.63305,29.2547,2.581402,29.4014
6,2.551864,30.9503,2.513321,31.3055
7,2.487446,32.7578,2.458119,32.3357
8,2.435543,34.0745,2.414537,33.3952
9,2.390872,34.8199,2.374482,34.6255
10,2.352731,35.8323,2.338882,35.4165
11,2.319437,36.9379,2.308179,36.2025
12,2.28916,37.4845,2.281173,36.3832
13,2.262254,38.0559,2.255959,36.6419
14,2.23701,38.118,2.232214,36.9105
15,2.213218,38.3106,2.209204,37.218
16,2.191589,38.6894,2.186271,37.8283
17,2.171144,38.9814,2.167615,37.9113
18,2.150977,39.5093,2.149595,38.507
19,2.132495,39.8323,2.128958,38.8976
20,2.114583,40.3665,2.112499,39.2247
21,2.098565,40.764,2.095829,39.8496
22,2.080936,41.0994,2.081384,40.0596
23,2.066468,41.4845,2.065087,40.4648
24,2.052321,41.7516,2.053269,40.4843
25,2.037953,41.8137,2.041281,40.5478
26,2.025129,42.1615,2.027734,40.9774
27,2.012974,42.1366,2.01571,40.9042
28,2.000637,42.3851,2.004268,41.3143
29,1.99119,42.8323,1.995787,41.4608
30,1.979537,42.882,1.983794,41.6707
