epoch,train_loss,train_acc,test_loss,test_acc
1,3.098353,9.5342,3.019331,14.9302
2,2.941464,16.6025,2.822163,20.2959
3,2.778869,20.2795,2.688092,22.366
4,2.668027,23.6273,2.594897,26.7308
5,2.579445,29.2174,2.516282,30.8173
6,2.503474,32.0311,2.45142,32.7263
7,2.440278,33.6211,2.397279,33.1608
8,2.386313,34.4658,2.350696,34.4302
9,2.341134,35.2112,2.309427,34.9917
10,2.298825,36.0373,2.272061,35.2505
11,2.261882,36.7391,2.238859,36.3295
12,2.227099,37.472,2.206574,36.8958
13,2.196025,37.795,2.179702,37.9357
14,2.167745,38.646,2.155391,38.3019
15,2.14058,39.4161,2.128947,39.0733
16,2.114693,39.7826,2.106149,39.4395
17,2.09127,40.3416,2.08374,39.6006
18,2.069479,40.6832,2.064634,40.0693
19,2.048367,40.9752,2.044991,40.6406
20,2.029433,41.0621,2.026927,40.8261
21,2.011586,41.3975,2.012475,41.202
22,1.995496,41.8696,1.995929,41.3924
23,1.979686,42.3665,1.983244,41.7537
24,1.965903,42.7143,1.969723,41.9344
25,1.952076,43.3168,1.956142,42.3347
26,1.940026,43.7391,1.945223,43.2526
27,1.927967,43.9627,1.934072,43.8434
28,1.916832,44.5652,1.923043,44.068
29,1.906057,44.6335,1.914814,44.5025
30,1.896813,44.8571,1.904953,44.6245
