Class,FNR,FPR
0,0.27,0.002515142182527461
1,0.701,0.04363001745200698
2,0.5375375375375375,0.04270389570394703
3,0.8542713567839196,0.02940421819674655
4,0.9895988112927192,0.0003533747286586905
5,0.442,0.02951442357047531
6,0.6028084252758275,0.0720554272517321
7,0.6586586586586587,0.038700405481702
8,0.6707132018209409,0.011300005044645109
9,0.9661229611041405,0.0033528067056134113
10,1.0,4.999500049995001e-05
11,0.2172211350293542,0.015973161083571177
12,0.10815047021943573,0.02176980447490425
13,0.7985971943887775,0.02843358653253952
14,0.7567567567567568,0.035877431607042036
15,0.292,0.015296170824350683
16,0.2902902902902903,0.02042806549299389
17,0.6726907630522089,0.050857025556810015
18,0.0,0.0029771070731957703
19,0.6256256256256256,0.04763126828517169
20,0.8638638638638638,0.029256274701021403
21,0.6912751677852349,0.030551755585955312
22,0.7897897897897898,0.05178873890057999
Average,0.5999553047510906,0.027148700062464802
