Metric,Value
accuracy,0.3069036304950714
loss,2.449368715286255
precision,0.4318001165355805
recall,0.3249949246147943
f1,0.3708608984924673
fpr,0.03160310309466495
fnr,0.6750050753733671
roc_auc,0.8896060892539943
pr_auc,0.4337682748254884
