epoch,train_acc,test_acc,loss
1,9.2671,15.8285,3.11755
2,20.7453,22.3172,2.985644
3,25.472,25.891,2.760011
4,28.9317,28.9523,2.551156
5,33.0373,33.8444,2.37837
6,37.7267,38.629,2.232404
7,41.0932,40.5917,2.120459
8,42.8199,41.8172,2.039448
9,43.8758,42.8523,1.98262
10,44.6087,43.5553,1.939852
11,45.3354,44.5074,1.907409
12,46.1801,44.732,1.879187
13,46.4534,45.2397,1.855556
14,46.7267,46.016,1.834496
15,47.5839,45.8207,1.81543
16,47.6335,46.8216,1.797619
17,48.1739,47.0218,1.781609
18,48.4224,47.2415,1.76675
19,48.6957,47.925,1.750958
20,49.1801,48.0227,1.738515
21,49.2919,48.4669,1.72526
22,49.8261,48.5548,1.712976
23,49.9938,48.7892,1.701776
24,50.3602,49.0187,1.692477
25,50.3292,49.0138,1.682472
26,50.4348,49.3506,1.672787
27,50.528,49.1651,1.664789
28,50.8075,49.3506,1.657252
29,50.9938,49.7754,1.650312
30,51.1118,49.6729,1.643669
