epoch,train_acc,test_acc,loss
1,7.4907,14.4957,3.118845
2,17.1118,20.9989,2.982092
3,25.5839,26.0619,2.75559
4,29.9193,30.9198,2.51842
5,33.7702,33.9029,2.338301
6,36.8075,36.1537,2.212852
7,38.8385,37.8039,2.118686
8,40.3789,40.0791,2.044686
9,42.0994,41.7293,1.983222
10,43.4658,42.8083,1.930831
11,44.472,43.3796,1.888617
12,45.0559,43.9508,1.852558
13,45.7019,44.439,1.821937
14,46.087,44.6831,1.795893
15,46.3913,44.9175,1.772997
16,46.6708,45.2251,1.752398
17,46.9441,45.2104,1.735629
18,46.9006,46.1185,1.719092
19,47.6211,46.5189,1.704944
20,47.677,46.6263,1.691497
21,48.1429,46.6019,1.680334
22,48.3292,47.2171,1.668314
23,48.2484,47.2757,1.65941
24,48.882,47.2268,1.649867
25,48.8882,47.8274,1.641411
26,49.4596,48.091,1.633818
27,49.4658,48.174,1.626478
28,49.6832,48.1105,1.618627
29,49.4907,48.2765,1.613904
30,50.0745,48.8331,1.607239
