epoch,train_acc,test_acc,loss
1,9.1242,18.2404,3.093484
2,23.6708,26.6527,2.904827
3,29.5217,30.3779,2.605733
4,33.7143,34.0592,2.370569
5,37.3975,36.4466,2.208479
6,39.6584,39.2979,2.094286
7,41.4783,40.6259,2.014601
8,42.8944,41.5633,1.956333
9,43.5839,42.8034,1.910896
10,44.8137,43.3991,1.87482
11,45.7019,44.2535,1.843707
12,45.9068,44.4634,1.816517
13,46.441,44.5953,1.793488
14,46.3913,44.9077,1.773142
15,46.4907,45.1763,1.755768
16,46.9317,45.6157,1.74062
17,47.1304,46.1869,1.72612
18,47.5093,46.1771,1.713814
19,47.7453,46.5677,1.702983
20,47.8944,46.8118,1.693163
21,48.2422,47.0657,1.683697
22,48.4845,47.222,1.674611
23,48.6211,47.4075,1.66609
24,49.0124,47.5002,1.658613
25,49.0497,47.8078,1.651391
26,49.2795,48.3107,1.644181
27,49.4596,48.4718,1.637829
28,49.8447,48.1398,1.63176
29,49.7578,48.7111,1.626348
30,50.1491,48.6378,1.620743
