Metric,Value
accuracy,0.505077600479126
loss,1.5408873558044434
precision,0.4757300218693834
recall,0.497272524051886
f1,0.4862627899641182
fpr,0.022540954487101278
fnr,0.5027274759362753
roc_auc,0.9258755442643782
pr_auc,nan
