Metric,Value
accuracy,0.12313250452280045
loss,2.6181318759918213
precision,0.23436955120034095
recall,0.13969302574520154
f1,0.17504980659553077
fpr,0.040016851814047405
fnr,0.8603069742429597
roc_auc,0.8258263085865017
pr_auc,0.2687271316269036
