Class,FNR,FPR
0,0.184,0.006313520172466893
1,0.822,0.022379632481264757
2,0.3983983983983984,0.033362418518708616
3,0.8663316582914573,0.018063324267460358
4,1.0,0.0
5,0.424,0.020839749512370394
6,0.5847542627883651,0.038439825506800106
7,0.33633633633633636,0.036903967561463843
8,0.3520485584218513,0.013317863088331735
9,0.6737766624843162,0.01397002794005588
10,1.0,4.999500049995001e-05
11,0.1232876712328767,0.006910019528316058
12,0.05956112852664577,0.01683128401531949
13,0.3717434869739479,0.03993019913775406
14,0.26326326326326327,0.043679104860647744
15,0.165,0.006724155630838723
16,0.3353353353353353,0.008263614433095519
17,0.3373493975903614,0.04290259673611824
18,0.0,0.0008726003490401396
19,0.7897897897897898,0.0224811374018375
20,0.5425425425425425,0.03495354924806241
21,0.15838926174496645,0.013223894208846329
22,0.5915915915915916,0.027767797567109787
Average,0.4512825802309585,0.02035566422462646
