Metric,Value
accuracy,0.09799999743700027
loss,2.5194356441497803
precision,0.009804902451215802
recall,0.0999999999989796
f1,0.01785876830522131
fpr,0.1000009692066278
fnr,0.899999999990986
roc_auc,0.4905221251288414
pr_auc,0.11466959811081141
asr,53.4000
