epoch,train_loss,train_acc,test_loss,test_acc
1,2.298309,16.6143,2.274931,21.5
2,2.262844,23.4143,2.237822,24.44
3,2.220802,23.6571,2.189113,24.77
4,2.173484,24.6571,2.140197,26.11
5,2.130256,25.6571,2.098892,27.45
6,2.093842,27.0286,2.063574,29.57
7,2.062488,29.1714,2.031995,30.85
8,2.034367,30.5571,2.00368,32.66
9,2.008135,31.6143,1.977259,33.85
10,1.984338,33.4286,1.952592,35.04
11,1.962092,34.0714,1.930111,35.96
12,1.940777,35.3429,1.909245,36.49
13,1.92115,35.7143,1.8898,37.37
14,1.903142,36.2714,1.871609,37.68
15,1.885516,37.1143,1.854801,38.72
16,1.869781,37.9571,1.839168,39.35
17,1.855214,38.0429,1.824613,40.48
18,1.840638,39.0571,1.810692,40.51
19,1.826422,39.0143,1.797015,41.3
20,1.815258,39.3286,1.784436,41.49
21,1.801703,40.0429,1.771948,41.74
22,1.790661,39.6857,1.760085,42.18
23,1.779443,40.4286,1.749155,42.71
24,1.768052,40.2857,1.73858,42.81
25,1.758187,40.7857,1.728264,42.82
26,1.746856,40.8286,1.718387,43.17
27,1.738109,41.4429,1.708813,43.48
28,1.728834,41.6571,1.700149,43.29
29,1.720529,41.4143,1.691472,43.67
30,1.711494,41.6429,1.683056,43.97
