epoch,train_loss,train_acc,test_loss,test_acc
1,2.298141,16.6571,2.275353,21.54
2,2.261022,23.4429,2.239397,24.63
3,2.217774,24.5429,2.193561,24.27
4,2.169671,26.6143,2.147467,24.71
5,2.125305,26.9571,2.107911,25.54
6,2.087307,28.0143,2.074286,27.46
7,2.054629,29.5714,2.043729,28.97
8,2.025196,30.9,2.016922,30.07
9,1.998042,31.9,1.99189,31.26
10,1.973482,33.2714,1.968257,32.24
11,1.950115,33.7571,1.94677,32.85
12,1.927476,34.8714,1.925716,34.13
13,1.906811,35.6714,1.906605,34.91
14,1.887427,36.7571,1.88851,35.09
15,1.868353,37.1286,1.872501,35.66
16,1.850563,37.8286,1.855448,36.66
17,1.833935,38.4714,1.840048,37.98
18,1.817925,39.3286,1.823743,38.07
19,1.802152,39.7714,1.810752,39.08
20,1.789806,40.0714,1.798588,39.24
21,1.774613,40.4571,1.783987,39.91
22,1.762389,40.7571,1.770437,40.46
23,1.750375,41.2286,1.758825,41.29
24,1.737263,41.5286,1.74751,41.51
25,1.727198,41.7714,1.736796,41.65
26,1.715162,41.9571,1.72521,41.86
27,1.705786,42.2571,1.714993,42.36
28,1.695426,42.5143,1.705271,42.39
29,1.686521,42.5571,1.696313,42.61
30,1.677611,43.1,1.687225,43.41
