epoch,train_loss,train_acc,test_loss,test_acc
1,2.306302,14.8429,2.291377,14.12
2,2.270133,18.0429,2.25742,23.42
3,2.236493,23.4857,2.221094,23.42
4,2.198904,23.6714,2.182723,26.22
5,2.160194,26.3857,2.143573,28.4
6,2.122052,29.4714,2.106638,31.17
7,2.085217,32.9714,2.070572,33.02
8,2.051939,33.7,2.037521,34.49
9,2.019219,35.5857,2.006465,35.38
10,1.989384,36.6429,1.97804,36.03
11,1.963106,37.3857,1.951184,36.77
12,1.937072,38.1429,1.926431,37.18
13,1.913986,39.2571,1.904613,37.88
14,1.892673,39.5571,1.883615,38.11
15,1.872551,39.9857,1.863549,39.0
16,1.855235,40.7286,1.845603,39.25
17,1.837888,41.1714,1.828629,39.8
18,1.821785,41.4,1.813977,40.04
19,1.806925,42.1,1.798374,40.47
20,1.792222,42.5,1.784703,40.47
21,1.780356,42.5143,1.771549,40.61
22,1.767412,42.7429,1.759596,40.99
23,1.755917,42.8714,1.747468,41.26
24,1.743892,43.1143,1.736551,41.73
25,1.733581,43.5143,1.725775,41.59
26,1.722763,43.8286,1.716005,42.02
27,1.713389,43.5,1.705532,42.33
28,1.702651,43.9286,1.696862,42.41
29,1.693467,43.9286,1.688306,42.33
30,1.684202,44.0429,1.679626,42.63
