epoch,train_loss,train_acc,test_loss,test_acc
1,2.303339,15.6857,2.292347,14.42
2,2.263532,18.6857,2.260093,23.48
3,2.226318,25.4286,2.227125,23.69
4,2.186042,26.5,2.193893,25.75
5,2.146185,29.9429,2.161518,28.18
6,2.107979,33.8714,2.131739,30.89
7,2.072436,36.5,2.10349,32.55
8,2.040705,36.6571,2.077578,33.87
9,2.010265,38.4143,2.053745,34.75
10,1.982546,39.4857,2.030956,34.87
11,1.95779,39.6714,2.008708,35.76
12,1.932611,40.2429,1.987228,36.23
13,1.909957,40.6714,1.968029,36.87
14,1.886576,40.7857,1.947098,37.55
15,1.865218,41.4429,1.927531,37.99
16,1.845672,41.6429,1.910172,38.39
17,1.826757,42.1,1.892032,38.7
18,1.807742,42.4857,1.877497,39.03
19,1.791069,42.9571,1.861089,39.26
20,1.775814,43.2571,1.847455,39.82
21,1.76281,43.4286,1.834723,39.76
22,1.749252,43.6286,1.823351,40.13
23,1.73625,43.7857,1.811305,40.31
24,1.724626,43.7714,1.799625,40.44
25,1.712851,44.2429,1.789598,40.51
26,1.702587,44.5714,1.78007,40.67
27,1.693565,44.3,1.769568,40.77
28,1.682212,44.5286,1.761602,41.01
29,1.673739,44.7143,1.755003,41.17
30,1.66437,45.2286,1.745304,41.11
