epoch,train_loss,train_acc,test_loss,test_acc
1,2.282536,19.0571,2.25865,21.73
2,2.24106,22.4,2.214035,23.86
3,2.196592,24.2571,2.168177,26.02
4,2.150746,26.9,2.122958,28.54
5,2.108534,30.2286,2.080805,30.23
6,2.068878,32.4857,2.042899,31.53
7,2.032522,33.5,2.009071,32.6
8,2.000703,34.3,1.979648,33.71
9,1.972238,35.2571,1.953584,34.35
10,1.948113,35.4429,1.930893,34.75
11,1.926123,36.2857,1.910736,35.16
12,1.907862,36.3143,1.892444,35.31
13,1.891136,36.5,1.87696,35.52
14,1.874336,36.8143,1.862287,35.77
15,1.860036,36.9857,1.849459,35.9
16,1.848681,37.2,1.837246,36.41
17,1.836475,37.4857,1.826679,36.77
18,1.827448,37.5857,1.816286,37.22
19,1.817307,37.6571,1.80688,37.54
20,1.805818,38.0143,1.797803,37.59
21,1.797758,38.3714,1.789512,37.89
22,1.789636,38.2,1.782074,38.1
23,1.783156,38.5429,1.774537,38.45
24,1.776292,39.0286,1.767089,38.84
25,1.767249,38.8143,1.761566,38.84
26,1.759946,39.3143,1.755112,39.04
27,1.755636,39.2571,1.748816,39.39
28,1.748253,39.4,1.74369,39.55
29,1.742722,40.0857,1.738262,39.55
30,1.73734,40.0286,1.732959,39.8
