epoch,train_loss,train_acc,test_loss,test_acc
1,2.265202,20.5429,2.2104,31.89
2,2.175165,32.8429,2.119778,39.63
3,2.093199,42.8571,2.037995,50.92
4,2.018985,52.8714,1.963504,59.16
5,1.948496,60.4571,1.893892,64.0
6,1.88287,64.4143,1.829958,67.07
7,1.821339,68.1429,1.768325,69.77
8,1.763068,69.6143,1.710352,71.01
9,1.707761,71.3286,1.655113,72.34
10,1.654218,72.4143,1.603013,73.6
11,1.604045,73.9429,1.552409,74.98
12,1.556389,74.4714,1.505792,75.35
13,1.510932,75.4857,1.462964,76.45
14,1.467483,76.7143,1.420456,77.49
15,1.426801,77.5,1.379399,78.26
16,1.387655,78.5286,1.342993,79.06
17,1.352184,79.1857,1.307851,79.33
18,1.317061,79.7714,1.273602,80.31
19,1.284154,80.5571,1.241407,80.88
20,1.252921,80.8429,1.20973,81.24
21,1.220849,81.5143,1.182049,81.59
22,1.191013,81.8857,1.154009,82.28
23,1.162723,82.2143,1.126135,82.44
24,1.135924,82.5286,1.098755,82.59
25,1.111282,83.0,1.075207,83.06
26,1.086517,83.3857,1.053614,83.28
27,1.061548,83.7143,1.028893,83.54
28,1.039093,84.0571,1.008567,83.72
29,1.017728,84.0714,0.986023,84.13
30,0.995749,84.4429,0.96675,84.16
