epoch,train_loss,train_acc,test_loss,test_acc
1,2.265182,20.3714,2.212018,31.66
2,2.175316,32.7,2.123978,37.91
3,2.093098,41.5571,2.044528,47.38
4,2.018096,51.9857,1.969576,56.56
5,1.94831,58.6714,1.902709,61.27
6,1.884615,62.4571,1.843354,63.72
7,1.824151,65.3286,1.784306,67.07
8,1.765859,67.2429,1.727939,69.01
9,1.708687,69.3714,1.672114,71.15
10,1.654191,71.1,1.620171,72.51
11,1.602342,72.6857,1.572091,73.8
12,1.553524,73.6286,1.525035,74.94
13,1.508355,74.6,1.480119,76.05
14,1.463436,76.1286,1.439077,77.12
15,1.423008,77.0714,1.398489,78.27
16,1.384179,78.0143,1.360859,78.66
17,1.349303,78.6571,1.325639,79.54
18,1.313594,79.3857,1.29218,80.06
19,1.281328,79.9571,1.259703,80.5
20,1.25027,80.2143,1.229295,80.87
21,1.219787,80.9857,1.202557,81.62
22,1.191238,81.5143,1.174637,82.04
23,1.163806,81.6571,1.147716,82.34
24,1.138466,82.5571,1.122218,82.37
25,1.114785,82.6,1.096733,82.96
26,1.090409,83.2857,1.075829,83.29
27,1.066363,83.4286,1.053003,83.54
28,1.044929,83.5286,1.031606,83.81
29,1.024396,83.9857,1.011029,84.23
30,1.003085,84.2,0.991798,84.56
