Metric,Value
accuracy,0.32941117882728577
loss,2.7734813690185547
precision,0.33801691859082894
recall,0.34609628301125983
f1,0.3420088872285954
fpr,0.030306992145442645
fnr,0.6539037169769015
roc_auc,0.8400937283902433
pr_auc,0.3857251936190743
