epoch,train_loss,train_acc,test_loss,test_acc
1,2.278897,12.6429,2.234942,15.32
2,2.182855,23.4,2.122391,28.83
3,2.073524,30.2714,2.019827,29.98
4,1.970567,33.0571,1.920362,34.39
5,1.868058,37.3143,1.822232,40.57
6,1.781211,41.4286,1.743723,42.53
7,1.712368,43.3143,1.680822,45.51
8,1.660101,45.2857,1.630448,47.41
9,1.614553,46.6857,1.588817,48.19
10,1.57456,48.1429,1.552906,49.65
11,1.541517,49.1714,1.520115,51.16
12,1.509261,50.1714,1.492583,51.91
13,1.485507,50.8,1.476227,52.68
14,1.462705,51.7143,1.446169,53.19
15,1.438639,52.3286,1.43194,53.14
16,1.421767,52.5,1.408855,54.26
17,1.403846,53.2571,1.391148,55.02
18,1.387909,53.6143,1.37321,56.05
19,1.370908,54.1857,1.358626,56.57
20,1.359399,54.7571,1.343036,56.94
21,1.345808,54.9,1.33142,57.21
22,1.332088,55.9286,1.327167,57.81
23,1.321182,56.0714,1.307417,57.49
24,1.310656,56.6571,1.295332,58.06
25,1.300628,56.7714,1.288355,59.02
26,1.290653,57.4143,1.278412,58.91
27,1.284283,57.2857,1.271902,59.61
28,1.277546,57.4857,1.263153,59.37
29,1.268464,57.7857,1.255869,59.96
30,1.262547,58.1286,1.245625,59.89
