epoch,train_loss,train_acc,test_loss,test_acc
1,2.277806,12.4857,2.236253,15.25
2,2.18079,24.9286,2.127885,29.51
3,2.065451,33.5429,2.026991,30.92
4,1.951798,34.3714,1.930866,33.47
5,1.840833,37.5571,1.829913,40.1
6,1.749597,41.7429,1.755439,42.04
7,1.677937,44.4429,1.690566,45.09
8,1.624721,46.1571,1.637354,46.44
9,1.580285,47.3286,1.594322,47.41
10,1.540759,48.8714,1.563724,48.8
11,1.510892,49.4143,1.531765,49.86
12,1.480418,50.4714,1.504716,50.61
13,1.459677,51.5286,1.495398,50.91
14,1.440342,51.7714,1.466254,51.57
15,1.41795,52.4714,1.45366,51.86
16,1.404222,52.7143,1.433692,52.32
17,1.388844,53.3857,1.416892,53.44
18,1.375205,53.4571,1.400602,53.9
19,1.360879,53.8286,1.387082,54.48
20,1.351594,54.4857,1.37589,54.64
21,1.34043,54.6857,1.370493,54.88
22,1.329704,54.7286,1.360062,55.17
23,1.320202,55.1286,1.352241,55.27
24,1.312375,55.7714,1.337318,55.32
25,1.302832,55.7429,1.329389,56.2
26,1.294722,55.9429,1.323125,56.16
27,1.288805,55.7143,1.31542,56.76
28,1.282728,56.0571,1.309531,56.73
29,1.273978,56.6,1.3037,57.11
30,1.27086,56.3714,1.296597,57.33
