epoch,train_loss,train_acc_pct,test_acc_pct
1,2.30564581,10.057143,10.54
2,2.27284841,14.785714,16.91
3,2.22286986,22.9,25.09
4,2.14854269,24.171429,26.17
5,2.06708312,25.357143,28.47
6,1.9913875,28.5,31.4
7,1.92702432,30.571429,34.62
8,1.87429804,32.685714,37.12
9,1.83110137,35.457143,39.42
10,1.79337867,36.885714,41.35
11,1.76217243,38.385714,43.11
12,1.73357761,40.114286,44.54
13,1.70770178,41.4,45.15
14,1.68351107,41.942857,45.56
15,1.6612168,42.742857,46.68
16,1.64077576,44.042857,47.8
17,1.62135897,44.842857,48.51
18,1.60300126,45.6,49.39
19,1.58597639,45.942857,49.93
20,1.5697469,46.914286,50.32
21,1.55484293,47.428571,50.54
22,1.54013605,47.828571,51.24
23,1.52688383,48.485714,51.62
24,1.51344847,48.185714,51.91
25,1.5018607,49.0,52.02
26,1.48974683,49.385714,52.73
27,1.47810611,49.571429,53.03
28,1.46680031,49.928571,53.47
29,1.45767022,50.228571,53.05
30,1.44783936,50.485714,53.86
