epoch,train_loss,train_acc_pct,test_acc_pct
1,3.10216768,10.031056,16.990528
2,2.95347208,16.093168,21.018455
3,2.77641257,21.614907,24.460502
4,2.64943314,25.267081,27.502197
5,2.5593391,28.149068,28.922957
6,2.49091851,30.42236,30.055659
7,2.43456518,31.664596,32.194122
8,2.38552298,33.254658,33.141295
9,2.34098208,34.658385,34.107997
10,2.30088546,35.875776,35.51411
11,2.26367788,37.279503,37.554926
12,2.22978486,38.757764,38.194512
13,2.19927645,39.447205,38.970804
14,2.17156712,40.204969,39.844742
15,2.14562104,41.055901,40.57221
16,2.12212092,41.888199,41.065326
17,2.09996916,42.416149,41.846499
18,2.0795814,42.919255,42.05644
19,2.06015156,43.763975,42.471438
20,2.04226674,43.795031,43.042672
21,2.02509663,44.347826,43.423494
22,2.00911936,44.869565,43.740846
23,1.9934435,45.229814,44.048433
24,1.97929379,45.621118,44.146079
25,1.96541808,45.745342,44.458549
26,1.95202723,46.180124,44.829606
27,1.93975332,46.248447,44.87843
28,1.92737411,46.888199,45.293428
29,1.91562398,46.881988,45.371546
30,1.90454112,47.186335,45.742603
