n_layers,run_id,seed,test_accuracy_pct,loss,fnr,fpr,roc_auc,pr_auc,precision,recall,f1,train_time_s
10,1,43,45.742604,1.91043437,0.530804,0.024643,0.892625,0.460725,0.435401,0.469196,0.451667,174552.89
10,1,43,45.742604,1.91043437,0.530804,0.024643,0.892625,0.460725,0.435401,0.469196,0.451667,209281.84
