epoch,train_loss,train_acc,test_loss,test_acc
1,3.067893,11.8634,2.962531,24.4898
2,2.829517,26.6708,2.700242,28.2101
3,2.565816,30.9503,2.471665,31.8621
4,2.35853,35.1988,2.30322,35.0796
5,2.214075,37.2236,2.184916,36.1928
6,2.111263,38.8758,2.097258,38.2726
7,2.033302,40.764,2.032008,39.2003
8,1.972911,41.4783,1.976552,40.3964
9,1.928938,42.559,1.938157,41.2606
10,1.892711,43.764,1.906648,41.9393
11,1.8644,44.354,1.88147,42.1883
12,1.840836,44.795,1.860759,42.6716
13,1.819829,45.1429,1.843721,42.5593
14,1.802735,45.354,1.826307,43.4772
15,1.785997,45.795,1.811808,43.4235
16,1.77037,45.9193,1.797091,43.9361
17,1.756878,46.1988,1.786856,44.1607
18,1.745318,46.9814,1.774695,44.6538
19,1.733004,47.3478,1.76378,44.9663
20,1.722617,47.5528,1.752541,45.2251
21,1.712975,47.8012,1.749212,45.7768
22,1.705052,48.1739,1.73723,46.2064
23,1.695704,48.5901,1.728826,46.1137
24,1.687585,48.7205,1.721993,46.1381
25,1.679978,49.0373,1.71414,46.8411
26,1.672438,49.1304,1.706942,47.3147
27,1.665889,49.3354,1.701223,47.1292
28,1.659232,49.4658,1.694199,47.2757
29,1.652648,49.7019,1.688544,47.5832
30,1.646672,49.6584,1.681957,48.0227
