Metric,Value
accuracy,0.36469998955726624
loss,2.1124677658081055
precision,0.2920648512021229
recall,0.3545390289257068
f1,0.32028384087841105
fpr,0.07091826394015652
fnr,0.6454609710642588
roc_auc,0.764687098856374
pr_auc,0.33670530267281323
