Metric,Value
accuracy,0.32755589485168457
loss,2.428034782409668
precision,0.2778804587004652
recall,0.3355003914480694
f1,0.30398406186720295
fpr,0.030536718433712445
fnr,0.6644996085400919
roc_auc,0.8307149350291784
pr_auc,0.32426774607132064
