============================================================
 Job        : hng_mn_ang_l2
 Job ID     : 14262
 Node       : hopper002
 CPUs       : 16
 Start      : Sat Mar 14 01:15:22 PM MDT 2026
============================================================

[ENV] Python     : /home/msrahman3/work/Nowmi/Sok/quid_env/bin/python
[ENV] Python ver : Python 3.10.19
[ENV] Working dir: /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/angle/layer2
[ENV] CUDA avail : True
[ENV] GPU info   : 
[ENV] PennyLane  : 0.42.3

[Data] Checking MNIST files in /home/msrahman3/work/Nowmi/Sok/huang-backdoor/MNIST/MNIST ...
       FOUND    train-images-idx3-ubyte
       FOUND    train-labels-idx1-ubyte
       FOUND    t10k-images-idx3-ubyte
       FOUND    t10k-labels-idx1-ubyte

[RUN] Starting at Sat Mar 14 01:15:32 PM MDT 2026

[Config] Main device : cuda
[Config] CPU threads : 16
[Config] N_LAYERS    : 2
====================================================================
 Huang & Zhang (2023) Backdoor — Angle QMLP Replication
 Qubits=9  Layers=2  Encoding=Angle
 Target=7  eps=0.2  (c,sigma)=(1.0,2.0)
 Poison ratios : [0.1, 0.3, 0.5]
 Runs/ratio    : 1   CPU threads: 16
====================================================================
[Data] Full train : (60000, 9)   Test : (10000, 9)
[Data] Stratified train: (7000, 9)  Test: (10000, 9)

====================================================================
 PHASE 1 — Proxy model training (clean, seed=42)
====================================================================
[PennyLane] lightning.qubit active
  Epoch  6 | Batch   70 | Acc:  26.29%  Loss: 2.0993
  Epoch  6 | Batch   80 | Acc:  26.41%  Loss: 2.1084
  Epoch  6 | Batch   90 | Acc:  26.51%  Loss: 2.0820
  Epoch  6 | Batch  100 | Acc:  27.00%  Loss: 2.0623
  Epoch  6 | Batch  110 | Acc:  27.06%  Loss: 2.0941
  [Proxy] Epoch  6  tr_loss=2.1004  tr_acc=27.06%  te_loss=2.0730  te_acc=29.11%
  Epoch  7 | Batch   10 | Acc:  25.78%  Loss: 2.0875
  Epoch  7 | Batch   20 | Acc:  27.89%  Loss: 2.0663
  Epoch  7 | Batch   30 | Acc:  27.86%  Loss: 2.0691
  Epoch  7 | Batch   40 | Acc:  28.05%  Loss: 2.0444
  Epoch  7 | Batch   50 | Acc:  27.94%  Loss: 2.0566
  Epoch  7 | Batch   60 | Acc:  27.97%  Loss: 2.0499
  Epoch  7 | Batch   70 | Acc:  27.70%  Loss: 2.0642
  Epoch  7 | Batch   80 | Acc:  27.44%  Loss: 2.0756
  Epoch  7 | Batch   90 | Acc:  27.62%  Loss: 2.0522
  Epoch  7 | Batch  100 | Acc:  27.89%  Loss: 2.0597
  Epoch  7 | Batch  110 | Acc:  27.96%  Loss: 2.0150
  [Proxy] Epoch  7  tr_loss=2.0582  tr_acc=27.96%  te_loss=2.0352  te_acc=30.25%
  Epoch  8 | Batch   10 | Acc:  30.78%  Loss: 2.0443
  Epoch  8 | Batch   20 | Acc:  32.03%  Loss: 2.0096
  Epoch  8 | Batch   30 | Acc:  31.20%  Loss: 2.0454
  Epoch  8 | Batch   40 | Acc:  30.74%  Loss: 2.0121
  Epoch  8 | Batch   50 | Acc:  30.62%  Loss: 2.0345
  Epoch  8 | Batch   60 | Acc:  30.31%  Loss: 2.0411
  Epoch  8 | Batch   70 | Acc:  30.27%  Loss: 2.0241
  Epoch  8 | Batch   80 | Acc:  30.51%  Loss: 2.0248
  Epoch  8 | Batch   90 | Acc:  30.33%  Loss: 2.0244
  Epoch  8 | Batch  100 | Acc:  30.31%  Loss: 2.0166
  Epoch  8 | Batch  110 | Acc:  30.20%  Loss: 2.0139
  [Proxy] Epoch  8  tr_loss=2.0264  tr_acc=30.20%  te_loss=2.0057  te_acc=31.22%
  Epoch  9 | Batch   10 | Acc:  28.44%  Loss: 2.0184
  Epoch  9 | Batch   20 | Acc:  29.61%  Loss: 2.0080
  Epoch  9 | Batch   30 | Acc:  30.52%  Loss: 2.0047
  Epoch  9 | Batch   40 | Acc:  30.23%  Loss: 2.0031
  Epoch  9 | Batch   50 | Acc:  30.19%  Loss: 2.0052
  Epoch  9 | Batch   60 | Acc:  30.13%  Loss: 2.0169
  Epoch  9 | Batch   70 | Acc:  30.47%  Loss: 1.9961
  Epoch  9 | Batch   80 | Acc:  30.70%  Loss: 2.0097
  Epoch  9 | Batch   90 | Acc:  30.94%  Loss: 1.9805
  Epoch  9 | Batch  100 | Acc:  31.19%  Loss: 1.9583
  Epoch  9 | Batch  110 | Acc:  31.00%  Loss: 1.9872
  [Proxy] Epoch  9  tr_loss=1.9989  tr_acc=31.00%  te_loss=1.9804  te_acc=33.38%
  Epoch 10 | Batch   10 | Acc:  31.41%  Loss: 1.9877
  Epoch 10 | Batch   20 | Acc:  30.62%  Loss: 1.9938
  Epoch 10 | Batch   30 | Acc:  30.68%  Loss: 2.0073
  Epoch 10 | Batch   40 | Acc:  31.52%  Loss: 1.9768
  Epoch 10 | Batch   50 | Acc:  31.81%  Loss: 1.9684
  Epoch 10 | Batch   60 | Acc:  31.98%  Loss: 1.9508
  Epoch 10 | Batch   70 | Acc:  31.92%  Loss: 1.9699
  Epoch 10 | Batch   80 | Acc:  31.91%  Loss: 1.9738
  Epoch 10 | Batch   90 | Acc:  32.20%  Loss: 1.9565
  Epoch 10 | Batch  100 | Acc:  32.33%  Loss: 1.9821
  Epoch 10 | Batch  110 | Acc:  32.34%  Loss: 1.9676
  [Proxy] Epoch 10  tr_loss=1.9759  tr_acc=32.34%  te_loss=1.9562  te_acc=33.95%
  Epoch 11 | Batch   10 | Acc:  37.34%  Loss: 1.9347
  Epoch 11 | Batch   20 | Acc:  35.47%  Loss: 1.9725
  Epoch 11 | Batch   30 | Acc:  34.64%  Loss: 1.9462
  Epoch 11 | Batch   40 | Acc:  33.71%  Loss: 1.9510
  Epoch 11 | Batch   50 | Acc:  33.41%  Loss: 1.9395
  Epoch 11 | Batch   60 | Acc:  33.02%  Loss: 1.9777
  Epoch 11 | Batch   70 | Acc:  32.75%  Loss: 1.9700
  Epoch 11 | Batch   80 | Acc:  32.54%  Loss: 1.9613
  Epoch 11 | Batch   90 | Acc:  32.53%  Loss: 1.9519
  Epoch 11 | Batch  100 | Acc:  32.53%  Loss: 1.9558
  Epoch 11 | Batch  110 | Acc:  32.60%  Loss: 1.9234
  [Proxy] Epoch 11  tr_loss=1.9531  tr_acc=32.60%  te_loss=1.9351  te_acc=35.26%
  Epoch 12 | Batch   10 | Acc:  35.00%  Loss: 1.9563
  Epoch 12 | Batch   20 | Acc:  36.48%  Loss: 1.9462
  Epoch 12 | Batch   30 | Acc:  35.42%  Loss: 1.9278
  Epoch 12 | Batch   40 | Acc:  35.04%  Loss: 1.9300
  Epoch 12 | Batch   50 | Acc:  35.06%  Loss: 1.9278
  Epoch 12 | Batch   60 | Acc:  34.79%  Loss: 1.9162
  Epoch 12 | Batch   70 | Acc:  34.46%  Loss: 1.9346
  Epoch 12 | Batch   80 | Acc:  34.55%  Loss: 1.9184
  Epoch 12 | Batch   90 | Acc:  34.69%  Loss: 1.9305
  Epoch 12 | Batch  100 | Acc:  34.72%  Loss: 1.9230
  Epoch 12 | Batch  110 | Acc:  34.61%  Loss: 1.9559
  [Proxy] Epoch 12  tr_loss=1.9333  tr_acc=34.61%  te_loss=1.9143  te_acc=36.15%
  Epoch 13 | Batch   10 | Acc:  37.34%  Loss: 1.8848
  Epoch 13 | Batch   20 | Acc:  35.86%  Loss: 1.9067
  Epoch 13 | Batch   30 | Acc:  36.30%  Loss: 1.9113
  Epoch 13 | Batch   40 | Acc:  36.17%  Loss: 1.9157
  Epoch 13 | Batch   50 | Acc:  35.66%  Loss: 1.9221
  Epoch 13 | Batch   60 | Acc:  35.86%  Loss: 1.9026
  Epoch 13 | Batch   70 | Acc:  35.83%  Loss: 1.9123
  Epoch 13 | Batch   80 | Acc:  35.39%  Loss: 1.9372
  Epoch 13 | Batch   90 | Acc:  35.36%  Loss: 1.9157
  Epoch 13 | Batch  100 | Acc:  35.47%  Loss: 1.9194
  Epoch 13 | Batch  110 | Acc:  35.64%  Loss: 1.9004
  [Proxy] Epoch 13  tr_loss=1.9117  tr_acc=35.64%  te_loss=1.8934  te_acc=36.72%
  Epoch 14 | Batch   10 | Acc:  34.84%  Loss: 1.8900
  Epoch 14 | Batch   20 | Acc:  34.61%  Loss: 1.9273
  Epoch 14 | Batch   30 | Acc:  35.05%  Loss: 1.8905
  Epoch 14 | Batch   40 | Acc:  35.51%  Loss: 1.9072
  Epoch 14 | Batch   50 | Acc:  35.91%  Loss: 1.8727
  Epoch 14 | Batch   60 | Acc:  36.20%  Loss: 1.8829
  Epoch 14 | Batch   70 | Acc:  36.09%  Loss: 1.8958
  Epoch 14 | Batch   80 | Acc:  36.02%  Loss: 1.8840
  Epoch 14 | Batch   90 | Acc:  35.71%  Loss: 1.8927
  Epoch 14 | Batch  100 | Acc:  36.03%  Loss: 1.8830
  Epoch 14 | Batch  110 | Acc:  36.01%  Loss: 1.8758
  [Proxy] Epoch 14  tr_loss=1.8911  tr_acc=36.01%  te_loss=1.8715  te_acc=38.05%
  Epoch 15 | Batch   10 | Acc:  35.31%  Loss: 1.8811
  Epoch 15 | Batch   20 | Acc:  35.55%  Loss: 1.8992
  Epoch 15 | Batch   30 | Acc:  36.51%  Loss: 1.8746
  Epoch 15 | Batch   40 | Acc:  36.64%  Loss: 1.8736
  Epoch 15 | Batch   50 | Acc:  37.19%  Loss: 1.8574
  Epoch 15 | Batch   60 | Acc:  37.40%  Loss: 1.8335
  Epoch 15 | Batch   70 | Acc:  36.92%  Loss: 1.9168
  Epoch 15 | Batch   80 | Acc:  37.38%  Loss: 1.8624
  Epoch 15 | Batch   90 | Acc:  37.38%  Loss: 1.8526
  Epoch 15 | Batch  100 | Acc:  37.34%  Loss: 1.8802
  Epoch 15 | Batch  110 | Acc:  37.31%  Loss: 1.8714
  [Proxy] Epoch 15  tr_loss=1.8730  tr_acc=37.31%  te_loss=1.8509  te_acc=38.81%
  Epoch 16 | Batch   10 | Acc:  39.06%  Loss: 1.8511
  Epoch 16 | Batch   20 | Acc:  37.89%  Loss: 1.8466
  Epoch 16 | Batch   30 | Acc:  38.07%  Loss: 1.8723
  Epoch 16 | Batch   40 | Acc:  37.77%  Loss: 1.8643
  Epoch 16 | Batch   50 | Acc:  37.75%  Loss: 1.8577
  Epoch 16 | Batch   60 | Acc:  37.19%  Loss: 1.8678
  Epoch 16 | Batch   70 | Acc:  37.43%  Loss: 1.8363
  Epoch 16 | Batch   80 | Acc:  37.50%  Loss: 1.8447
  Epoch 16 | Batch   90 | Acc:  37.36%  Loss: 1.8517
  Epoch 16 | Batch  100 | Acc:  37.70%  Loss: 1.8477
  Epoch 16 | Batch  110 | Acc:  37.70%  Loss: 1.8489
  [Proxy] Epoch 16  tr_loss=1.8536  tr_acc=37.70%  te_loss=1.8319  te_acc=39.64%
  Epoch 17 | Batch   10 | Acc:  37.50%  Loss: 1.8711
  Epoch 17 | Batch   20 | Acc:  37.42%  Loss: 1.8464
  Epoch 17 | Batch   30 | Acc:  37.97%  Loss: 1.8295
  Epoch 17 | Batch   40 | Acc:  39.38%  Loss: 1.7882
  Epoch 17 | Batch   50 | Acc:  39.41%  Loss: 1.8363
  Epoch 17 | Batch   60 | Acc:  39.04%  Loss: 1.8566
  Epoch 17 | Batch   70 | Acc:  38.91%  Loss: 1.8176
  Epoch 17 | Batch   80 | Acc:  38.63%  Loss: 1.8492
  Epoch 17 | Batch   90 | Acc:  38.51%  Loss: 1.8398
  Epoch 17 | Batch  100 | Acc:  38.50%  Loss: 1.8087
  Epoch 17 | Batch  110 | Acc:  38.26%  Loss: 1.8143
  [Proxy] Epoch 17  tr_loss=1.8325  tr_acc=38.26%  te_loss=1.8108  te_acc=40.79%
