epoch,train_acc,test_acc,loss
1,8.3292,13.2995,3.091191
2,17.3727,22.6638,2.902163
3,24.7205,26.1058,2.714331
4,28.7764,29.2501,2.547831
5,31.2671,31.2958,2.410483
6,33.1056,33.1071,2.312632
7,34.5217,34.0006,2.244673
8,35.3168,35.1186,2.194383
9,36.2795,35.8559,2.155634
10,36.882,36.6566,2.123148
11,37.646,37.2522,2.094871
12,38.5217,37.9309,2.069945
13,38.9876,38.4484,2.047506
14,39.6273,39.2979,2.026778
15,40.1304,39.5323,2.009467
16,40.5217,39.752,1.993464
17,40.8199,40.5429,1.979012
18,41.3416,40.8749,1.965757
19,41.7329,40.8993,1.953429
20,42.1739,41.1386,1.942333
21,42.3354,41.5145,1.932508
22,42.6025,41.8709,1.922033
23,43.0683,41.9051,1.911525
24,43.1553,42.0613,1.903622
25,43.5217,42.3787,1.89311
26,43.6211,42.4861,1.884136
27,43.8944,42.6326,1.873497
28,44.0062,42.8816,1.864323
29,44.2112,43.0768,1.854529
30,44.4286,43.194,1.844467
