epoch,train_acc,test_acc,loss
1,10.6273,16.2338,3.098346
2,20.2857,23.0397,2.891331
3,28.1677,30.4609,2.638475
4,33.2857,33.4684,2.442017
5,35.7081,35.8363,2.307713
6,37.5155,37.301,2.21602
7,38.4037,38.3459,2.149315
8,39.1118,39.005,2.096539
9,39.8012,39.6153,2.053481
10,40.2795,40.1719,2.01693
11,40.5714,40.6113,1.986403
12,41.5714,41.0751,1.958923
13,41.8199,41.5975,1.934647
14,42.2484,41.8465,1.913973
15,42.795,42.0125,1.893775
16,43.0435,42.3787,1.876131
17,43.3851,42.4763,1.860026
18,44.0186,43.1989,1.844648
19,44.2547,43.5748,1.830853
20,44.9006,43.8727,1.817913
21,45.118,44.0973,1.805937
22,45.6957,44.7808,1.793798
23,45.9627,44.8784,1.783194
24,46.3292,44.9614,1.773142
25,46.441,44.898,1.763642
26,46.5155,45.1909,1.754634
27,46.8758,45.3862,1.746367
28,46.7019,45.5522,1.738744
29,47.2112,45.8891,1.731835
30,47.1863,45.9965,1.725279
