epoch,train_acc,test_acc,loss
1,12.4037,20.7841,3.065662
2,22.087,21.9998,2.871552
3,24.5776,26.5257,2.661166
4,29.0621,29.9824,2.492677
5,32.6584,32.4382,2.367762
6,35.4783,34.9722,2.267489
7,37.559,35.8363,2.188102
8,38.9752,37.2962,2.123942
9,40.323,38.2677,2.073945
10,41.0621,38.9952,2.03314
11,41.6087,40.0254,1.996868
12,42.4534,40.4941,1.966632
13,42.9938,41.285,1.940017
14,43.559,41.9783,1.917418
15,44.1118,42.3396,1.897877
16,44.5093,42.7839,1.880125
17,44.7205,42.9548,1.864907
18,45.087,43.3893,1.851379
19,45.205,43.4772,1.839022
20,45.6708,43.9606,1.828113
21,45.7019,43.9752,1.818379
22,45.913,44.0973,1.809394
23,45.9938,44.7954,1.800454
24,46.236,44.6929,1.793063
25,46.5217,45.3032,1.78627
26,46.7826,45.2885,1.779646
27,46.9006,45.3276,1.773506
28,47.0311,45.6254,1.767957
29,46.882,45.7719,1.761485
30,47.0186,45.6889,1.757448
