epoch,train_loss,train_acc_pct,test_acc_pct
1,2.26818439,20.857143,31.35
2,2.17526481,33.442857,38.65
3,2.08815153,43.028571,51.58
4,2.00941923,55.671429,60.71
5,1.93849749,62.814286,65.52
6,1.87381464,66.014286,68.42
7,1.81261475,68.542857,70.94
8,1.75469472,70.342857,71.98
9,1.69998138,71.171429,72.95
10,1.64840481,72.7,73.28
11,1.59828275,73.742857,74.6
12,1.55036989,74.614286,75.71
13,1.50500487,75.257143,76.97
14,1.46165556,76.528571,77.97
15,1.42039572,76.928571,78.72
16,1.38087616,77.985714,79.34
17,1.34286833,78.614286,79.72
18,1.30665083,79.257143,80.31
19,1.27134769,79.942857,80.63
20,1.23851278,80.328571,80.95
21,1.20674307,80.914286,81.56
22,1.17570269,81.485714,81.77
23,1.14746588,81.742857,82.32
24,1.11997832,82.214286,82.73
25,1.0943627,82.671429,82.83
26,1.06901494,83.057143,83.07
27,1.04530476,82.971429,83.58
28,1.02162353,83.5,83.77
29,0.99936788,84.2,84.05
30,0.97841597,84.328571,84.3
