epoch,train_loss,train_acc,test_loss,test_acc
1,3.062968,8.4845,2.971975,11.6346
2,2.840936,22.4969,2.734461,26.4183
3,2.614868,31.205,2.524441,33.4928
4,2.428465,36.2484,2.358079,36.5052
5,2.286179,38.0559,2.233704,38.38
6,2.180072,40.2236,2.142479,40.1572
7,2.098027,41.9193,2.069203,41.5096
8,2.032726,42.9503,2.011898,42.3494
9,1.981936,43.8447,1.966199,42.6472
10,1.940893,44.2857,1.930232,43.3063
11,1.906522,44.9938,1.900138,43.8678
12,1.87881,45.4534,1.874211,44.3121
13,1.855758,46.0683,1.853799,44.3609
14,1.834473,46.1429,1.833893,44.815
15,1.816644,46.4224,1.81782,44.9761
16,1.800788,46.7391,1.803811,45.3423
17,1.787005,46.9938,1.790184,45.4301
18,1.773123,47.0248,1.776791,45.7133
19,1.761829,47.2919,1.76677,45.7231
20,1.750137,47.4534,1.756285,46.06
21,1.740944,47.6832,1.745621,46.1722
22,1.730793,47.8509,1.738104,46.5677
23,1.722245,48.1615,1.728521,46.5628
24,1.71451,48.0994,1.721561,46.6019
25,1.706456,48.2609,1.71412,47.1585
26,1.698711,48.5901,1.706594,47.2659
27,1.692392,48.8261,1.700571,47.261
28,1.686169,48.8323,1.695137,47.4417
29,1.679844,48.913,1.688884,47.4075
30,1.674276,48.9317,1.684261,47.5637
