epoch,train_loss,train_acc,test_loss,test_acc
1,3.097167,7.6894,3.003773,18.2209
2,2.897681,24.4845,2.79473,29.1964
3,2.690931,30.9068,2.609896,32.448
4,2.514863,32.9255,2.446714,33.9469
5,2.365578,34.7453,2.311011,36.1635
6,2.250191,37.2547,2.213887,37.8869
7,2.167654,38.8199,2.144129,38.6876
8,2.108251,39.4037,2.0945,39.2296
9,2.063536,40.3292,2.055405,39.8936
10,2.027971,41.1739,2.024081,40.5087
11,1.998916,41.7019,1.99669,41.0507
12,1.972949,42.0994,1.973461,41.4901
13,1.95114,42.5839,1.951842,41.8172
14,1.931648,43.1304,1.933917,42.2078
15,1.914038,43.3913,1.917915,42.2664
16,1.898069,43.677,1.90188,42.5886
17,1.883685,44.1801,1.889093,42.8913
18,1.870464,44.2857,1.875953,43.2526
19,1.858502,44.9752,1.864313,43.4918
20,1.848057,45.0248,1.854893,43.9459
21,1.838029,45.354,1.845,44.0973
22,1.83033,45.6646,1.83538,44.2095
23,1.822268,45.8012,1.82863,44.2388
24,1.814409,46.0186,1.821834,44.4195
25,1.807556,45.8944,1.815449,44.5025
26,1.801038,46.1988,1.808038,44.6587
27,1.794772,46.2919,1.803939,44.5464
28,1.790048,46.3292,1.798576,44.8638
29,1.784158,46.4472,1.793247,44.9224
30,1.780088,46.5404,1.78833,44.8589
