epoch,train_loss,train_acc,test_loss,test_acc
1,3.097028,7.7081,3.003889,18.8849
2,2.898013,24.6708,2.797429,29.4161
3,2.693322,31.0807,2.614483,32.4773
4,2.51791,33.0,2.450971,33.7809
5,2.367757,34.8944,2.314148,35.7436
6,2.251603,37.4224,2.216448,37.8283
7,2.168503,39.2112,2.146083,38.7609
8,2.108055,39.795,2.095576,39.0196
9,2.061898,40.7081,2.055406,39.7227
10,2.024607,41.6584,2.022896,40.621
11,1.993637,42.2671,1.994075,40.9872
12,1.965813,42.9503,1.969318,41.5487
13,1.942353,43.5342,1.946537,42.0369
14,1.921533,44.2174,1.927722,42.4031
15,1.903159,44.4845,1.911298,42.8571
16,1.887073,44.764,1.89553,43.2917
17,1.872876,45.4286,1.883424,43.2721
18,1.860366,45.2298,1.871395,43.4381
19,1.849359,45.8509,1.860826,43.5748
20,1.839779,45.7081,1.852467,43.9166
21,1.830609,45.9255,1.843464,43.775
22,1.823528,46.0745,1.834821,43.985
23,1.816189,46.2298,1.828522,44.0094
24,1.808805,46.3106,1.822339,44.3072
25,1.80227,46.3602,1.816433,44.3951
26,1.795953,46.5714,1.809282,44.4683
27,1.789735,46.7453,1.805147,44.4683
28,1.785115,46.8075,1.800001,44.6148
29,1.779174,46.8385,1.794685,44.9321
30,1.774984,47.0435,1.789588,44.8003
