epoch,train_acc,test_acc,train_loss
1,10.0,10.11,2.312478
2,12.7143,23.22,2.280554
3,21.0571,22.68,2.246459
4,20.9714,22.75,2.210704
5,21.9857,24.82,2.178066
6,24.9,26.55,2.149155
7,26.2571,28.02,2.122941
8,27.8714,28.86,2.097458
9,28.3714,31.2,2.071797
10,29.2857,30.53,2.045346
11,29.1286,31.06,2.018517
12,29.7857,31.45,1.990484
13,29.8714,32.19,1.962658
14,30.9714,32.91,1.935669
15,31.2857,32.79,1.910571
16,32.0429,33.84,1.885067
17,32.9,34.57,1.863873
18,33.0857,35.0,1.842457
19,33.6714,35.59,1.823046
20,34.3714,35.88,1.805501
21,34.4143,36.65,1.789223
22,35.3143,37.96,1.772453
23,35.8857,38.41,1.75964
24,36.4286,39.05,1.746965
25,37.3,39.69,1.733682
26,37.7286,40.07,1.7202
27,38.4286,40.65,1.709782
28,38.9286,41.24,1.699361
29,39.6286,41.52,1.689314
30,40.2571,41.88,1.679949
