epoch,train_acc,test_acc,train_loss
1,10.3286,14.8,2.31487
2,17.9,21.75,2.284865
3,22.3571,27.41,2.258886
4,27.4714,29.17,2.219289
5,31.6429,31.43,2.164972
6,32.8571,34.48,2.10385
7,34.5429,36.94,2.044044
8,36.4286,38.18,1.986849
9,37.2714,39.3,1.935982
10,37.8571,40.15,1.889993
11,38.4286,40.46,1.851739
12,38.9,41.53,1.81634
13,39.8571,42.0,1.786299
14,40.6571,42.94,1.760044
15,41.2286,43.77,1.734643
16,41.1571,44.0,1.715397
17,42.1143,44.56,1.697395
18,42.9143,44.94,1.682059
19,43.0857,45.23,1.665121
20,43.7429,45.72,1.652587
21,44.1286,46.26,1.640073
22,44.5429,46.28,1.629937
23,44.7714,46.58,1.618481
24,44.8571,47.0,1.60955
25,45.3143,47.34,1.600771
26,45.7286,47.43,1.591853
27,45.9571,47.6,1.583209
28,46.1143,48.08,1.577438
29,46.3429,48.21,1.569327
30,46.5143,48.23,1.562159
