epoch,train_acc,test_acc,train_loss
1,11.2143,11.23,2.310345
2,15.7286,17.46,2.271778
3,19.0143,20.27,2.231373
4,23.3286,25.43,2.183252
5,27.1143,30.9,2.131104
6,33.4286,35.93,2.080932
7,36.4714,36.97,2.034087
8,37.8857,37.98,1.992033
9,37.1286,39.03,1.957255
10,38.8857,40.38,1.923257
11,39.2857,40.84,1.893286
12,39.8714,41.88,1.864368
13,41.1143,42.88,1.837924
14,41.5,43.07,1.813327
15,42.2143,44.41,1.790446
16,43.6571,44.75,1.766935
17,43.7857,45.76,1.7476
18,44.8,46.16,1.726645
19,44.8857,46.83,1.710721
20,45.5286,47.31,1.692778
21,46.1571,47.55,1.676913
22,46.1143,48.67,1.66207
23,46.7143,48.77,1.64967
24,46.9714,49.26,1.636178
25,47.5,49.65,1.624401
26,47.4143,49.78,1.612615
27,47.9571,50.59,1.599719
28,48.1857,50.86,1.590243
29,48.6286,50.96,1.580309
30,49.0,51.49,1.572044
