Metric,Value
accuracy,0.4893076717853546
loss,1.7684814929962158
precision,0.46973732680487756
recall,0.482644792350351
f1,0.4761035882856148
fpr,0.023258630034632542
fnr,0.5173552076378103
roc_auc,0.9149619519361787
pr_auc,nan
