Class,FNR,FPR
0,0.2357142857142857,0.04113082039911308
1,0.04669603524229075,0.0380146644106035
2,0.5678294573643411,0.06612399643175736
3,0.4613861386138614,0.05873192436040044
4,0.7739307535641547,0.04180527833222444
5,0.9136771300448431,0.016359244620114184
6,0.278705636743215,0.05850475558504756
7,0.28793774319066145,0.046923762817654924
8,0.6108829568788501,0.07301130068690449
9,0.5877106045589693,0.07763318874429985
Average,0.47644707419154725,0.05182389363881198
