Class,FNR,FPR
0,0.12653061224489795,0.009312638580931265
1,0.01762114537444934,0.01410039481105471
2,0.22286821705426357,0.03267172167707404
3,0.201980198019802,0.027586206896551724
4,0.22810590631364563,0.029718341095586603
5,0.3195067264573991,0.022288098375054896
6,0.151356993736952,0.015925680159256803
7,0.17509727626459143,0.01560410164957646
8,0.28850102669404515,0.03290494128074452
9,0.3250743310208127,0.02435769102435769
Average,0.2056642433180859,0.022446981555018876
